"Region","Alder","Kon","000007Y7 2024"
"2061C1030_DeSO2025","75-79","1+2",82
"2061C1030_DeSO2025","80-","1+2",83
"2061C1040_DeSO2025","totalt","1+2",1608
"2061C1040_DeSO2025","65-69","1+2",141
"2061C1040_DeSO2025","70-74","1+2",130
"2061C1040_DeSO2025","75-79","1+2",117
"2061C1040_DeSO2025","80-","1+2",145
"2062A0010_DeSO2025","totalt","1+2",1694
"2062A0010_DeSO2025","65-69","1+2",134
"2062A0010_DeSO2025","70-74","1+2",135
"2062A0010_DeSO2025","75-79","1+2",152
"2062A0010_DeSO2025","80-","1+2",163
"2062A0020_DeSO2025","totalt","1+2",972
"2062A0020_DeSO2025","65-69","1+2",69
"2062A0020_DeSO2025","70-74","1+2",71
"2062A0020_DeSO2025","75-79","1+2",71
"2062A0020_DeSO2025","80-","1+2",86
"2062A0030_DeSO2025","totalt","1+2",1951
"2062A0030_DeSO2025","65-69","1+2",161
"2062A0030_DeSO2025","70-74","1+2",163
"2062A0030_DeSO2025","75-79","1+2",155
"2062A0030_DeSO2025","80-","1+2",195
"2062B2010_DeSO2025","totalt","1+2",1305
"2062B2010_DeSO2025","65-69","1+2",87
"2062B2010_DeSO2025","70-74","1+2",79
"2062B2010_DeSO2025","75-79","1+2",82
"2062B2010_DeSO2025","80-","1+2",101
"2062C1010_DeSO2025","totalt","1+2",1763
"2062C1010_DeSO2025","65-69","1+2",142
"2062C1010_DeSO2025","70-74","1+2",132
"2062C1010_DeSO2025","75-79","1+2",115
"2062C1010_DeSO2025","80-","1+2",140
"2062C1020_DeSO2025","totalt","1+2",2187
"2062C1020_DeSO2025","65-69","1+2",135
"2062C1020_DeSO2025","70-74","1+2",169
"2062C1020_DeSO2025","75-79","1+2",125
"2062C1020_DeSO2025","80-","1+2",116
"2062C1030_DeSO2025","totalt","1+2",1628
"2062C1030_DeSO2025","65-69","1+2",79
"2062C1030_DeSO2025","70-74","1+2",83
"2062C1030_DeSO2025","75-79","1+2",144
"2062C1030_DeSO2025","80-","1+2",211
"2062C1040_DeSO2025","totalt","1+2",1256
"2062C1040_DeSO2025","65-69","1+2",83
"2062C1040_DeSO2025","70-74","1+2",62
"2062C1040_DeSO2025","75-79","1+2",77
"2062C1040_DeSO2025","80-","1+2",109
"2062C1050_DeSO2025","totalt","1+2",2199
"2062C1050_DeSO2025","65-69","1+2",124
"2062C1050_DeSO2025","70-74","1+2",148
"2062C1050_DeSO2025","75-79","1+2",169
"2062C1050_DeSO2025","80-","1+2",244
"2062C1060_DeSO2025","totalt","1+2",1576
"2062C1060_DeSO2025","65-69","1+2",112
"2062C1060_DeSO2025","70-74","1+2",80
"2062C1060_DeSO2025","75-79","1+2",89
"2062C1060_DeSO2025","80-","1+2",131
"2062C1070_DeSO2025","totalt","1+2",1675
"2062C1070_DeSO2025","65-69","1+2",68
